%Vernier Format 2
%tyson-doublevolume-ptbr.cmbl 4/21/2005 18:29:17 .
%Latest
%Time	Signal 1	Signal 2
%t	Signal 1	Signal 2
%s	mV	mV
%
0	837.233659905	195.88879484
0.25	837.800124992	196.451700064
0.5	837.233659905	196.451700064
0.75	836.667194818	197.014605288
1	836.100729732	196.451700064
1.25	834.967799558	197.014605288
1.5	835.534264645	196.451700064
1.75	834.967799558	196.451700064
2	834.401334471	195.88879484
2.25	833.834869385	197.014605288
2.5	833.834869385	196.451700064
2.75	833.268404298	197.014605288
3	832.701939211	197.014605288
3.25	832.701939211	197.014605288
3.5	832.135474125	197.014605288
3.75	831.002543951	197.014605288
4	831.002543951	196.451700064
4.25	831.002543951	196.451700064
4.5	831.002543951	197.014605288
4.75	830.436078865	196.451700064
5	829.869613778	197.014605288
5.25	829.303148691	197.014605288
5.5	829.303148691	197.014605288
5.75	828.736683604	197.014605288
6	828.736683604	197.014605288
6.25	828.170218518	197.014605288
6.5	828.170218518	197.014605288
6.75	827.603753431	197.014605288
7	827.037288344	197.014605288
7.25	827.037288344	197.014605288
7.5	825.904358171	197.014605288
7.75	826.470823258	197.577510512
8	825.337893084	197.014605288
8.25	825.337893084	195.88879484
8.5	824.771427998	197.014605288
8.75	824.771427998	197.014605288
9	824.204962911	197.014605288
9.25	823.638497824	195.88879484
9.5	823.638497824	197.014605288
9.75	824.204962911	197.014605288
10	823.072032737	197.014605288
10.25	822.505567651	197.577510512
10.5	821.372637477	197.577510512
10.75	821.372637477	197.014605288
11	821.372637477	196.451700064
11.25	820.806172391	197.577510512
11.5	821.372637477	197.014605288
11.75	820.806172391	197.577510512
12	820.239707304	198.140415737
12.25	820.239707304	198.140415737
12.5	819.673242217	198.140415737
12.75	819.106777131	198.140415737
13	819.106777131	198.140415737
13.25	818.540312044	198.140415737
13.5	818.540312044	198.140415737
13.75	816.840916784	198.140415737
14	817.407381871	198.140415737
14.25	817.407381871	198.140415737
14.5	816.840916784	198.140415737
14.75	816.274451697	198.140415737
15	816.274451697	198.140415737
15.25	816.274451697	198.140415737
15.5	815.70798661	198.140415737
15.75	815.70798661	198.140415737
16	814.575056437	197.577510512
16.25	815.141521524	198.140415737
16.5	814.575056437	198.140415737
16.75	814.575056437	198.140415737
17	814.00859135	198.140415737
17.25	813.442126264	198.140415737
17.5	813.442126264	198.140415737
17.75	813.442126264	198.140415737
18	812.875661177	198.140415737
18.25	812.875661177	198.140415737
18.5	812.30919609	198.140415737
18.75	812.30919609	197.577510512
